month,source_hour,mean_irradiance_w_m2,median_irradiance_w_m2,min_irradiance_w_m2,max_irradiance_w_m2,std_irradiance_w_m2,valid_observation_count,missing_observation_count
11,19,213.62847222222223,230.27777777777777,70.55555555555556,286.6666666666667,63.60577114493925,16,0
11,20,134.56597222222223,144.16666666666669,32.77777777777778,194.99999999999997,49.85142212165506,16,0
11,21,69.25347222222223,77.91666666666666,12.222222222222221,113.88888888888889,33.8873282503431,16,0
11,22,26.5625,23.47222222222222,4.444444444444445,56.94444444444444,18.022298431130828,16,0
11,23,9.965277777777777,6.666666666666667,0.0,40.27777777777777,10.175858524361416,16,0
11,24,4.6875,3.333333333333333,0.0,13.88888888888889,4.39073449239601,16,0
12,1,32.76041666666667,31.944444444444446,3.888888888888889,76.3888888888889,21.28473166273732,16,0
12,2,59.56597222222222,51.80555555555556,22.5,122.22222222222221,29.639981192340596,16,0
12,3,101.61458333333333,90.97222222222223,60.55555555555556,190.83333333333334,37.448348344410064,16,0
12,4,152.79513888888886,138.19444444444446,102.5,258.8888888888889,47.23033358984701,16,0
12,5,219.28819444444443,201.38888888888886,163.33333333333331,352.77777777777777,59.06603063347188,16,0
12,6,301.9270833333333,283.4722222222222,238.88888888888889,469.72222222222223,67.15603328123214,16,0
12,7,389.04513888888886,373.75,309.44444444444446,549.1666666666666,67.09162158368505,16,0
12,8,473.9236111111111,470.0,402.77777777777777,587.7777777777778,57.57933112174875,16,0
12,9,552.9340277777778,549.1666666666666,465.8333333333333,654.7222222222223,51.94161893186788,16,0
12,10,625.8506944444445,631.25,543.6111111111111,716.3888888888889,51.65745325557439,16,0
12,11,667.9861111111111,667.0833333333333,587.5,760.0,52.43480176575469,16,0
12,12,684.2881944444445,690.5555555555557,598.3333333333333,769.1666666666666,48.982230836878,16,0
12,13,678.6805555555555,678.4722222222222,590.8333333333333,765.0,55.70419929350068,16,0
12,14,653.4027777777778,659.4444444444445,520.0,753.8888888888889,72.03133605928463,16,0
12,15,598.4722222222222,605.5555555555557,451.38888888888886,692.5,78.55281832938722,16,0
12,16,522.1875,525.1388888888889,368.8888888888889,616.1111111111111,80.55944275423228,16,0
12,17,438.21180555555554,449.16666666666663,293.3333333333333,529.4444444444445,74.94689263428458,16,0
12,18,350.81597222222223,362.5,223.61111111111111,427.77777777777777,67.61847313383093,16,0
12,19,265.67708333333337,284.16666666666663,153.88888888888889,337.77777777777777,57.13252307487597,16,0
12,20,191.44097222222223,204.72222222222223,98.6111111111111,246.66666666666666,45.50914740387896,16,0
12,21,123.80208333333334,136.52777777777777,36.111111111111114,181.66666666666666,40.33192002803918,16,0
12,22,72.62152777777777,86.66666666666666,15.277777777777777,116.1111111111111,31.87326510246763,16,0
12,23,35.12152777777778,43.611111111111114,2.4999999999999996,64.16666666666667,20.847024822022956,16,0
12,24,21.5625,27.36111111111111,0.2777777777777778,49.72222222222222,15.322619378195538,16,0
