year,month,source_hour,irradiance_w_m2,pv_capacity_kw,performance_ratio,availability_factor,pv_generation_kw,generation_type
1986,1,1,25.27777777777777,100.0,0.8,1.0,2.0222222222222217,MODELED_SCENARIO
1986,1,2,48.888888888888886,100.0,0.8,1.0,3.911111111111111,MODELED_SCENARIO
1986,1,3,71.11111111111111,100.0,0.8,1.0,5.688888888888889,MODELED_SCENARIO
1986,1,4,98.33333333333331,100.0,0.8,1.0,7.866666666666666,MODELED_SCENARIO
1986,1,5,161.38888888888889,100.0,0.8,1.0,12.911111111111111,MODELED_SCENARIO
1986,1,6,240.0,100.0,0.8,1.0,19.200000000000003,MODELED_SCENARIO
1986,1,7,329.72222222222223,100.0,0.8,1.0,26.377777777777784,MODELED_SCENARIO
1986,1,8,416.1111111111111,100.0,0.8,1.0,33.288888888888884,MODELED_SCENARIO
1986,1,9,508.3333333333333,100.0,0.8,1.0,40.666666666666664,MODELED_SCENARIO
1986,1,10,582.5,100.0,0.8,1.0,46.6,MODELED_SCENARIO
1986,1,11,654.1666666666666,100.0,0.8,1.0,52.33333333333334,MODELED_SCENARIO
1986,1,12,701.6666666666666,100.0,0.8,1.0,56.13333333333334,MODELED_SCENARIO
1986,1,13,698.3333333333333,100.0,0.8,1.0,55.86666666666667,MODELED_SCENARIO
1986,1,14,697.7777777777777,100.0,0.8,1.0,55.82222222222222,MODELED_SCENARIO
1986,1,15,641.3888888888889,100.0,0.8,1.0,51.31111111111111,MODELED_SCENARIO
1986,1,16,546.9444444444445,100.0,0.8,1.0,43.75555555555556,MODELED_SCENARIO
1986,1,17,465.8333333333333,100.0,0.8,1.0,37.266666666666666,MODELED_SCENARIO
1986,1,18,376.6666666666667,100.0,0.8,1.0,30.13333333333334,MODELED_SCENARIO
1986,1,19,270.0,100.0,0.8,1.0,21.6,MODELED_SCENARIO
1986,1,20,178.33333333333334,100.0,0.8,1.0,14.26666666666667,MODELED_SCENARIO
1986,1,21,124.44444444444444,100.0,0.8,1.0,9.955555555555556,MODELED_SCENARIO
1986,1,22,83.33333333333333,100.0,0.8,1.0,6.666666666666666,MODELED_SCENARIO
1986,1,23,48.61111111111111,100.0,0.8,1.0,3.888888888888889,MODELED_SCENARIO
1986,1,24,25.27777777777777,100.0,0.8,1.0,2.0222222222222217,MODELED_SCENARIO
1986,2,1,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1986,2,2,0.0,100.0,0.8,1.0,0.0,MODELED_SCENARIO
1986,2,3,4.999999999999999,100.0,0.8,1.0,0.39999999999999997,MODELED_SCENARIO
1986,2,4,32.5,100.0,0.8,1.0,2.6,MODELED_SCENARIO
1986,2,5,47.5,100.0,0.8,1.0,3.8000000000000003,MODELED_SCENARIO
1986,2,6,106.38888888888889,100.0,0.8,1.0,8.511111111111111,MODELED_SCENARIO
1986,2,7,177.5,100.0,0.8,1.0,14.200000000000001,MODELED_SCENARIO
1986,2,8,253.88888888888889,100.0,0.8,1.0,20.311111111111114,MODELED_SCENARIO
1986,2,9,313.6111111111111,100.0,0.8,1.0,25.08888888888889,MODELED_SCENARIO
1986,2,10,422.77777777777777,100.0,0.8,1.0,33.82222222222222,MODELED_SCENARIO
1986,2,11,445.8333333333333,100.0,0.8,1.0,35.666666666666664,MODELED_SCENARIO
1986,2,12,484.44444444444446,100.0,0.8,1.0,38.75555555555556,MODELED_SCENARIO
1986,2,13,507.22222222222223,100.0,0.8,1.0,40.57777777777778,MODELED_SCENARIO
